,Trade Value,Trade Value,Trade Value,Trade Value,Quantity,Quantity,Price,Price,Price,Price,Trade Date,Trade Date
,sum,count,mean,std,sum,mean,min,max,mean,std,min,max
SHANTIGEAR,181398.4,25,7255.94,10464.1,380,15.2,475.65,478.0,476.94,0.86,2023-06-23,2023-06-23
SHARDACROP,343153.4,19,18060.71,38575.78,620,32.63,550.85,574.85,556.32,6.36,2023-06-07,2023-06-21
SHAREINDIA,2541.7,2,1270.85,10.82,2,1.0,1263.2,1278.5,1270.85,10.82,2023-05-22,2023-05-22
SHILPAMED,1677122.8,153,10961.59,25882.38,6628,43.32,230.6,292.0,243.36,18.17,2023-02-21,2023-06-20
SHOPERSTOP,530743.75,61,8700.72,25080.27,852,13.97,622.0,625.2,623.81,1.16,2023-04-06,2023-04-25
SHRIRAMFIN,98665.0,6,16444.17,18202.59,76,12.67,1293.75,1302.85,1301.11,3.61,2023-02-08,2023-02-08
SIEMENS,866451.4,23,37671.8,44134.97,258,11.22,3090.0,3584.55,3392.6,160.11,2023-01-20,2023-05-30
SIS,1110635.95,62,17913.48,44358.23,2950,47.58,372.05,419.0,379.68,9.63,2023-04-12,2023-06-14
SKFINDIA,475600.25,41,11600.01,18943.95,112,2.73,4224.0,4272.1,4259.21,18.95,2023-04-20,2023-04-20
SOLARINDS,116135.2,12,9677.93,8104.87,30,2.5,3826.1,3907.95,3883.45,25.23,2023-02-28,2023-03-01
SONACOMS,658362.6,51,12909.07,17262.32,1426,27.96,455.0,468.7,463.26,5.57,2023-02-02,2023-02-08
SONATSOFTW,390417.6,12,32534.8,33262.46,432,36.0,714.0,1040.15,858.38,132.89,2023-02-23,2023-06-09
SPARC,1235281.0,104,11877.7,25250.76,6290,60.48,176.8,211.25,196.57,11.77,2023-03-28,2023-06-26
SPECIALITY,4407.55,6,734.59,764.45,20,3.33,219.0,221.6,219.53,1.02,2023-08-08,2023-08-08
SRF,5074.85,2,2537.43,9.3,2,1.0,2530.85,2544.0,2537.43,9.3,2023-05-04,2023-05-04
SSWL,4265.5,3,1421.83,643.92,20,6.67,212.3,214.25,213.6,1.13,2023-07-10,2023-07-10
STAR,241598.0,20,12079.9,11929.42,620,31.0,369.65,406.15,382.98,15.54,2023-06-07,2023-06-07
STARCEMENT,247799.2,14,17699.94,24859.51,1700,121.43,145.35,146.0,145.62,0.18,2023-06-06,2023-06-06
STYLAMIND,1753095.35,112,15652.64,32641.5,1062,9.48,1639.25,1658.0,1649.81,5.35,2023-05-26,2023-05-26
SUDARSCHEM,449189.1,97,4630.82,7786.61,1200,12.37,373.35,375.0,374.0,0.57,2023-03-16,2023-03-16
SULA,1317171.1,85,15496.13,29020.91,2860,33.65,456.1,466.1,460.26,3.11,2023-06-09,2023-07-03
SUNPHARMA,224059.5,35,6401.7,11532.41,220,6.29,1001.45,1021.65,1020.29,4.49,2023-01-09,2023-02-08
SUNTV,434567.4,18,24142.63,50361.83,1000,55.56,434.05,435.25,435.05,0.27,2023-03-16,2023-03-16
SUPRAJIT,813.2,2,406.6,0.21,2,1.0,406.45,406.75,406.6,0.21,2023-05-23,2023-05-23
SURYAROSNI,431623.6,20,21581.18,26784.86,520,26.0,808.0,858.95,816.92,16.75,2023-06-06,2023-06-26
SWANENERGY,630711.4,31,20345.53,25200.07,2382,76.84,236.95,298.0,260.26,22.48,2023-03-10,2023-05-05
SYNGENE,113727.6,11,10338.87,10528.14,200,18.18,568.3,569.0,568.64,0.3,2023-02-09,2023-02-09
SYRMA,1307093.85,82,15940.17,26748.94,4004,48.83,322.5,334.6,325.04,2.63,2023-05-19,2023-05-22
TANLA,376776.35,22,17126.2,16455.36,480,21.82,783.05,787.8,784.29,1.84,2023-05-31,2023-05-31
TATACHEM,102100.0,5,20420.0,18135.87,100,20.0,1020.1,1021.9,1020.82,0.99,2023-02-09,2023-02-09
TATACOMM,2473.05,2,1236.53,3.5,2,1.0,1234.05,1239.0,1236.53,3.5,2023-04-20,2023-04-20
TATACONSUM,372272.5,12,31022.71,23241.5,460,38.33,767.75,865.0,815.31,48.62,2023-01-06,2023-06-26
TATAELXSI,15725.35,2,7862.68,17.15,2,1.0,7850.55,7874.8,7862.68,17.15,2023-06-08,2023-06-08
TATAMOTORS,705939.7,17,41525.86,33605.71,1666,98.0,386.55,445.4,423.03,23.12,2023-01-04,2023-02-03
TATAMTRDVR,385916.8,17,22700.99,37904.35,1702,100.12,214.55,420.3,269.61,87.81,2023-03-22,2023-08-01
TATAPOWER,208560.45,9,23173.38,19213.63,1020,113.33,184.2,205.15,200.27,9.04,2023-01-30,2023-03-28
TATASTEEL,326927.7,5,65385.54,29730.81,2844,568.8,111.35,116.6,114.6,2.6,2023-01-04,2023-02-08
TCI,125345.15,30,4178.17,4040.96,200,6.67,624.55,628.75,626.48,1.88,2023-03-20,2023-03-20
TCNSBRANDS,150655.4,12,12554.62,11184.31,310,25.83,482.45,495.05,485.12,3.2,2023-02-22,2023-03-08
TCS,266215.45,4,66553.86,46342.31,80,20.0,3327.4,3328.0,3327.84,0.29,2023-01-16,2023-01-16
TECHM,671244.25,22,30511.1,30488.42,602,27.36,1109.95,1117.7,1115.05,2.81,2023-05-26,2023-05-26
TEJASNET,982551.65,72,13646.55,17655.7,1492,20.72,612.7,734.0,658.39,39.68,2023-02-22,2023-06-27
TEXRAIL,112812.3,13,8677.87,8681.14,2002,154.0,56.05,56.65,56.3,0.3,2023-05-24,2023-05-24
THYROCARE,471541.55,44,10716.85,16064.24,900,20.45,519.75,528.45,522.72,3.85,2023-06-27,2023-06-27
